-7.21,0.0
-5.8,0.0
-4.4,0.0
-2.99,0.0
-1.59,0.0
-0.18,0.0
1.22,0.0
2.63,0.0
-0.17,0.0
-0.51,0.0
-0.57,0.0
-0.57,0.0
-0.77,0.0
-1.35,49.0
-2.05,159.75
-2.6,250.8
-3.0,336.25
-3.03,348.8
-2.82,311.35
-2.57,218.9
-2.79,34.45
-3.58,1.95
-4.83,0.0
-6.26,0.0
-8.01,0.0
-8.53,0.0
-9.2,0.0
-9.65,0.0
-9.8,0.0
-9.92,0.0
-10.16,0.0
-9.92,0.0
-9.67,0.0
-9.88,0.0
-9.6,0.0
-7.86,0.0
-7.22,0.0
-8.18,56.1
-8.39,175.35
-6.12,272.7
-4.31,356.7
-4.19,369.25
-2.84,318.45
-1.6,217.45
-1.78,34.85
-2.69,2.2
-3.72,0.0
-4.41,0.0
-4.95,0.0
-5.36,0.0
-5.97,0.0
-6.61,0.0
-6.88,0.0
-7.25,0.0
-7.21,0.0
-6.12,0.0
-5.44,0.0
-5.06,0.0
-4.32,0.0
-3.67,0.0
-3.1,0.0
-2.55,22.1
-1.8,40.5
-1.04,60.2
-0.41,57.9
0.0,43.4
0.29,40.15
0.71,26.9
0.72,12.0
0.7,0.7
0.72,0.0
0.76,0.0
0.8,0.0
0.77,0.0
0.69,0.0
0.54,0.0
0.33,0.0
0.11,0.0
-0.1,0.0
0.12,0.0
0.01,0.0
-0.14,0.0
-0.3,0.0
-0.42,0.0
-0.49,0.0
-0.51,23.45
-0.39,42.45
-0.21,98.2
0.28,93.0
0.61,81.3
1.29,149.55
2.16,153.85
2.24,41.4
1.7,2.8
0.8,0.0
0.19,0.0
-0.77,0.0
-1.71,0.0
-2.73,0.0
-3.78,0.0
-4.73,0.0
-5.63,0.0
-6.25,0.0
-6.82,0.0
-7.07,0.0
-7.09,0.0
-6.95,0.0
-7.27,0.0
-8.0,0.0
-8.91,47.7
-9.39,230.15
-9.43,340.8
-9.08,380.05
-8.41,383.25
-7.67,287.3
-6.51,215.45
-6.17,45.5
-6.48,3.25
-7.25,0.0
-7.89,0.0
-8.2,0.0
-8.63,0.0
-8.94,0.0
-9.15,0.0
-9.44,0.0
-10.15,0.0
-11.32,0.0
-11.16,0.0
-11.75,0.0
-12.77,0.0
-14.02,0.0
-15.04,0.0
-15.94,0.0
-16.58,39.3
-15.56,233.55
-13.81,324.2
-12.3,371.9
-11.39,378.2
-10.13,320.1
-9.19,211.65
-9.64,38.35
-8.91,3.45
-9.74,0.0
-12.3,0.0
-14.09,0.0
-14.58,0.0
-12.93,0.0
-13.18,0.0
-13.7,0.0
-14.1,0.0
-14.62,0.0
-16.06,0.0
-16.45,0.0
-17.18,0.0
-17.9,0.0
-18.71,0.0
-19.21,0.0
-19.66,49.35
-20.05,160.95
-18.85,206.95
-17.8,318.4
-16.51,340.1
-15.61,325.4
-13.73,239.15
-14.3,47.05
-15.5,4.5
-17.01,0.0
-18.42,0.0
-18.89,0.0
-19.7,0.0
-20.86,0.0
-21.65,0.0
-22.32,0.0
-22.9,0.0
-23.48,0.0
-23.77,0.0
-23.71,0.0
-23.22,0.0
-22.47,0.0
-22.71,0.0
-22.52,0.0
-22.29,59.35
-22.02,190.75
-20.57,264.35
-19.22,314.05
-17.91,317.15
-16.9,264.1
-14.99,193.15
-14.74,65.85
-15.0,5.0
-15.05,0.0
-14.56,0.0
-15.07,0.0
-16.26,0.0
-17.41,0.0
-18.41,0.0
-19.11,0.0
-19.75,0.0
-20.5,0.0
-21.1,0.0
-21.88,0.0
-22.7,0.0
-23.61,0.0
-23.52,0.0
-21.51,0.0
-23.23,42.2
-22.71,228.65
-20.94,286.6
-18.85,300.3
-15.92,277.75
-13.89,221.35
-11.97,166.35
-11.02,69.65
-10.62,5.4
-10.42,0.0
-9.93,0.0
-9.45,0.0
-9.02,0.0
-8.59,0.0
-8.75,0.0
-9.34,0.0
-9.61,0.0
-9.78,0.0
-9.71,0.0
-9.95,0.0
-10.02,0.0
-10.22,0.0
-10.34,0.0
-10.61,0.0
-10.34,66.15
-9.43,173.3
-8.03,239.2
-6.6,289.6
-5.27,296.35
-4.15,236.25
-3.24,131.4
-2.98,37.3
-2.82,2.35
-2.52,0.0
-2.17,0.0
-1.66,0.0
-1.16,0.0
-0.68,0.0
-0.13,0.0
0.5,0.0
1.03,0.0
1.2,0.0
1.57,0.0
1.59,0.0
1.9,0.0
3.12,0.0
4.22,0.0
4.16,0.0
3.59,41.85
3.16,120.1
2.99,196.8
3.13,320.75
3.25,385.05
3.34,347.35
4.11,254.15
3.78,46.2
2.91,5.45
1.76,0.0
0.68,0.0
0.43,0.0
1.82,0.0
2.49,0.0
3.02,0.0
3.48,0.0
3.77,0.0
3.66,0.0
3.75,0.0
4.04,0.0
4.31,0.0
4.34,0.0
4.44,0.0
4.43,0.0
4.5,8.3
4.68,20.45
4.98,50.75
5.43,51.65
5.64,53.4
5.47,25.7
3.68,28.05
3.55,13.5
3.35,1.45
3.0,0.0
2.73,0.0
2.34,0.0
1.81,0.0
1.36,0.0
0.96,0.0
0.41,0.0
-0.27,0.0
-0.81,0.0
-1.18,0.0
-2.14,0.0
-3.25,0.0
-3.85,0.0
-4.1,0.0
-4.02,0.0
-4.6,48.1
-5.26,211.8
-5.6,273.15
-5.89,335.75
-6.39,380.55
-7.18,344.0
-7.52,243.8
-8.39,48.0
-9.36,6.25
-10.44,0.0
-11.36,0.0
-12.19,0.0
-13.04,0.0
-13.79,0.0
-14.44,0.0
-15.07,0.0
-15.71,0.0
-16.36,0.0
-17.27,0.0
-18.2,0.0
-18.13,0.0
-17.16,0.0
-16.73,0.0
-16.87,0.0
-16.94,38.82
-16.51,253.2
-15.05,359.95
-14.09,409.6
-12.68,381.15
-10.76,288.85
-10.66,212.65
-10.22,72.5
-10.18,8.6
-10.09,0.0
-10.61,0.0
-11.11,0.0
-10.91,0.0
-11.58,0.0
-12.49,0.0
-11.95,0.0
-10.46,0.0
-9.75,0.0
-8.8,0.0
-8.98,0.0
-9.15,0.0
-9.5,0.0
-10.14,0.0
-10.64,0.0
-11.27,35.3
-10.79,229.0
-10.33,317.65
-10.0,358.9
-9.64,376.15
-9.17,370.8
-8.44,268.55
-8.34,42.05
-9.22,7.15
-8.73,0.0
-8.92,0.0
-9.24,0.0
-9.58,0.0
-10.12,0.0
-10.97,0.0
-13.44,0.0
-13.35,0.0
-13.77,0.0
-14.19,0.0
-14.33,0.0
-14.2,0.0
-13.73,0.0
-12.89,0.0
-11.68,0.0
-9.92,51.85
-7.13,224.75
-4.24,336.95
-1.89,405.2
-0.06,394.05
1.07,346.75
1.88,256.45
1.98,44.2
1.49,7.35
0.48,0.0
-0.26,0.0
-1.04,0.0
-1.56,0.0
-2.1,0.0
-2.63,0.0
-2.93,0.0
-3.35,0.0
-3.67,0.0
-4.14,0.0
-4.76,0.0
-5.45,0.0
-6.39,0.0
-7.06,0.0
-7.86,0.0
-8.02,47.8
-6.75,237.6
-4.26,334.5
-3.27,392.2
-2.55,383.05
-2.19,319.9
-1.26,189.5
-1.59,77.7
-2.14,9.95
-2.69,0.0
-2.94,0.0
-2.87,0.0
-2.72,0.0
-2.48,0.0
-2.24,0.0
-1.92,0.0
-1.49,0.0
-1.2,0.0
-0.64,0.0
-0.49,0.0
-0.48,0.0
-0.55,0.0
-0.61,0.0
-0.71,0.0
-0.73,24.5
-0.45,61.65
0.06,81.15
0.49,61.45
0.62,102.15
0.98,77.9
0.75,47.45
0.77,21.55
0.63,2.55
0.48,0.0
0.56,0.0
0.6,0.0
0.57,0.0
0.42,0.0
0.29,0.0
0.02,0.0
-0.26,0.0
-0.33,0.0
-1.08,0.0
-1.01,0.0
-0.93,0.0
-0.78,0.0
-0.73,0.0
-0.56,0.0
-0.45,31.3
-0.09,103.85
0.64,170.0
1.42,216.45
2.03,254.1
2.59,176.15
2.63,120.8
2.49,52.6
1.94,7.95
1.39,0.0
1.16,0.0
0.77,0.0
0.58,0.0
0.47,0.0
0.22,0.0
0.07,0.0
-0.38,0.0
-1.03,0.0
-1.71,0.0
-2.03,0.0
-1.98,0.0
-1.56,0.0
-1.35,0.0
-1.54,0.0
-1.96,40.8
-0.65,177.9
0.94,220.8
1.67,242.05
2.23,272.5
2.64,213.0
2.26,168.25
2.35,53.95
1.7,8.25
1.07,0.0
-0.22,0.0
-1.14,0.0
-1.83,0.0
-2.8,0.0
-3.5,0.0
-3.37,0.0
-2.95,0.0
-2.9,0.0
-2.21,0.0
-2.06,0.0
-1.75,0.0
-1.6,0.0
-2.03,0.0
-2.17,0.0
-2.11,21.65
-1.55,72.7
-0.59,85.4
0.08,89.2
0.42,78.5
0.77,76.05
1.15,60.95
1.57,22.1
0.75,3.0
0.67,0.0
0.71,0.0
0.62,0.0
0.75,0.0
0.69,0.0
0.72,0.0
0.51,0.0
0.2,0.0
-0.27,0.0
-0.36,0.0
-0.42,0.0
-0.49,0.0
-0.61,0.0
-0.83,0.0
-0.7,0.0
-0.75,36.95
0.01,160.65
0.89,249.95
1.52,290.15
2.01,221.95
2.27,165.85
1.87,107.05
1.86,47.2
1.57,10.3
1.13,0.0
0.52,0.0
-0.25,0.0
-1.1,0.0
-1.62,0.0
-1.97,0.0
-2.17,0.0
-2.04,0.0
-2.1,0.0
-1.22,0.0
-1.09,0.0
-1.01,0.0
-1.04,0.0
-1.2,0.0
-1.5,0.0
-1.8,36.55
-1.53,173.0
-1.11,320.75
-0.29,413.5
0.63,408.8
1.35,313.1
0.41,250.75
0.23,127.55
-0.48,14.75
-1.46,0.0
-2.3,0.0
-3.0,0.0
-3.41,0.0
-3.92,0.0
-4.24,0.0
-4.63,0.0
-4.62,0.0
-4.66,0.0
-4.59,0.0
-4.44,0.0
-4.34,0.0
-4.07,0.0
-3.79,0.0
-3.65,0.0
-3.59,20.1
-3.58,42.4
-3.45,70.05
-3.33,61.05
-3.42,65.7
-3.58,101.3
-3.18,48.6
-3.3,30.05
-3.22,6.05
-3.03,0.0
-2.8,0.0
-2.63,0.0
-2.45,0.0
-2.34,0.0
-2.24,0.0
-2.19,0.0
-2.18,0.0
-2.19,0.0
-1.85,0.0
-1.8,0.0
-1.83,0.0
-1.84,0.0
-1.87,0.0
-1.93,0.0
-1.95,24.6
-1.87,49.75
-1.8,92.65
-1.47,153.35
-0.98,202.55
-0.42,212.5
-0.52,173.5
-0.34,78.9
-0.54,12.75
-0.94,0.0
-1.1,0.0
-1.22,0.0
-1.35,0.0
-1.35,0.0
-1.45,0.0
-1.12,0.0
-0.81,0.0
-0.83,0.0
-0.47,0.0
-0.26,0.0
-0.14,0.0
-0.12,0.0
-0.1,0.0
-0.07,0.0
0.06,36.25
0.36,94.45
0.79,96.85
0.97,112.55
1.09,129.0
1.15,164.05
1.31,78.85
1.0,93.05
0.68,16.6
0.02,0.0
-0.44,0.0
-0.76,0.0
-0.97,0.0
-1.1,0.0
-1.16,0.0
-1.24,0.0
-1.36,0.0
-1.55,0.0
-0.52,0.0
-0.83,0.0
-1.01,0.0
-1.41,0.0
-1.62,0.0
-1.87,0.0
-2.14,57.5
-2.12,171.5
-1.83,222.7
-1.55,241.45
-1.2,233.1
-0.86,211.55
-0.19,128.3
-0.43,82.8
-0.78,14.2
-1.37,0.0
-1.83,0.0
-2.12,0.0
-2.34,0.0
-2.47,0.0
-2.67,0.0
-2.83,0.0
-3.04,0.0
-3.36,0.0
-3.32,0.0
-3.6,0.0
-3.9,0.0
-4.21,0.0
-4.61,0.0
-4.97,0.0
-5.16,63.95
-4.63,222.8
-4.03,268.25
-3.41,307.45
-2.63,287.1
-1.88,240.1
0.39,218.75
0.69,105.65
0.38,20.75
-0.32,0.0
-0.88,0.0
-1.0,0.0
-1.15,0.0
-1.36,0.0
-1.87,0.0
-2.14,0.0
-2.19,0.0
-2.07,0.0
-1.62,0.0
-1.7,0.0
-1.78,0.0
-1.87,0.0
-2.02,0.0
-2.3,0.0
-2.53,60.8
-2.21,218.9
-1.77,335.65
-1.12,415.4
-0.54,356.35
-0.48,319.3
-0.51,243.0
-0.92,132.4
-1.5,18.35
-2.55,0.0
-3.4,0.0
-4.18,0.0
-4.73,0.0
-5.67,0.0
-6.49,0.0
-7.55,0.0
-9.01,0.0
-10.48,0.0
-10.31,0.0
-10.34,0.0
-10.59,0.0
-10.36,0.0
-10.57,0.0
-10.83,0.0
-11.07,58.6
-10.62,205.8
-9.96,304.7
-9.21,390.65
-8.4,395.15
-7.95,334.1
-8.29,211.15
-8.39,111.55
-8.69,18.35
-9.35,0.0
-9.95,0.0
-10.58,0.0
-11.24,0.0
-11.78,0.0
-12.34,0.0
-12.93,0.0
-13.53,0.0
-14.23,0.0
-14.84,0.0
-15.36,0.0
-16.13,0.0
-16.91,0.0
-17.07,0.0
-16.62,0.0
-15.39,42.5
-13.67,301.6
-11.8,417.15
-7.33,481.65
-8.18,487.65
-9.03,436.95
-9.88,335.55
-10.73,193.35
-11.58,16.9
-12.43,0.0
-13.28,0.0
-14.13,0.0
-14.98,0.0
-15.83,0.0
-16.68,0.0
-17.53,0.0
-18.38,0.0
-19.24,0.0
-20.09,0.0
-19.89,0.0
-20.2,0.0
-20.39,0.0
-20.52,0.0
-20.69,0.0
-20.73,53.7
-19.33,304.5
-16.4,402.25
-12.63,469.3
-8.98,496.15
-6.44,431.45
-4.48,325.0
-3.63,181.0
-3.54,27.25
-3.9,0.0
-3.96,0.0
-3.64,0.0
-3.37,0.0
-3.29,0.0
-3.32,0.0
-3.27,0.0
-3.2,0.0
-3.2,0.0
-2.73,0.0
-2.79,0.0
-2.72,0.0
-2.43,0.0
-2.2,0.0
-2.05,0.0
-1.86,68.15
-1.27,216.95
-0.33,342.25
0.81,451.75
1.76,449.7
2.35,416.5
3.19,333.35
3.32,171.0
3.02,29.65
2.86,0.0
2.74,0.0
2.67,0.0
2.65,0.0
2.62,0.0
2.47,0.0
2.22,0.0
1.98,0.0
1.83,0.0
1.38,0.0
0.96,0.0
0.73,0.0
0.62,0.0
0.54,0.0
0.46,0.0
0.32,49.25
-0.12,118.1
-0.68,199.0
-1.01,295.15
-0.98,241.1
-1.16,199.65
-3.31,130.35
-3.94,61.8
-4.72,19.55
-5.53,0.0
-6.32,0.0
-7.02,0.0
-7.81,0.0
-8.51,0.0
-9.17,0.0
-9.72,0.0
-10.19,0.0
-10.61,0.0
-11.56,0.0
-11.85,0.0
-12.09,0.0
-12.31,0.0
-12.52,0.0
-12.63,0.0
-12.66,60.15
-12.6,152.7
-12.21,260.65
-11.64,339.25
-10.87,359.95
-10.33,271.9
-11.36,213.65
-11.09,65.6
-11.17,26.65
-11.32,0.0
-11.54,0.0
-11.83,0.0
-12.29,0.0
-12.58,0.0
-12.86,0.0
-13.07,0.0
-13.37,0.0
-13.74,0.0
-13.85,0.0
-14.16,0.0
-14.59,0.0
-14.98,0.0
-15.71,0.0
-16.13,0.0
-16.22,154.4
-15.56,294.4
-15.1,445.85
-14.44,525.85
-13.74,531.05
-13.13,480.55
-12.2,386.1
-12.07,235.4
-12.62,24.4
-13.69,0.05
-14.84,0.0
-15.85,0.0
-16.67,0.0
-17.55,0.0
-18.51,0.0
-19.67,0.0
-20.88,0.0
-21.06,0.0
-20.11,0.0
-19.72,0.0
-21.02,0.0
-23.38,0.0
-24.14,0.0
-24.77,0.0
-24.8,156.95
-22.66,261.35
-19.26,336.15
-16.24,410.1
-14.08,433.3
-12.48,423.35
-10.79,285.0
-9.81,124.45
-9.01,28.9
-8.39,0.05
-7.88,0.0
-7.51,0.0
-7.26,0.0
-7.1,0.0
-7.01,0.0
-7.07,0.0
-6.93,0.0
-6.89,0.0
-7.04,0.0
-7.13,0.0
-7.26,0.0
-7.71,0.0
-8.28,0.0
-8.78,0.0
